,strain,High,Low
285,sfv-og-kush,21 ,17
286,hells-og,23 ,21
287,la-cake,23 ,17
288,blue-widow,15 ,9
289,golden-lemon,23 ,19
290,purple-gorilla,18 ,16
291,watermelon-zkittlez,25 ,22
292,headbanger,22 ,20
293,pure-kush,19 ,15
294,tangerine-haze,18 ,17
295,alien-rock-candy,23 ,17
296,blueberry-cheesecake,21 ,16
297,fruit-loops,21 ,17
298,phantom-og,22 ,16
299,blueberry-diesel,19 ,15
300,purple-hindu-kush,21 ,18
301,bruce-banner-3,25 ,19
302,lemon-g,21 ,16
303,hardcore-og,21 ,18
304,dr-who,21 ,16
305,elmers-glue,21 ,16
306,grape-god,18 ,13
307,mob-boss,21 ,17
308,citrus-sap,21 ,16
309,blueberry-haze,17 ,16
310,king-kong,17 ,14
311,canna-tsu,6 ,3
312,sour-space-candy,1,0
313,scooby-snack,24 ,18
314,ace-of-spades,17 ,14
315,herojuana,21 ,19
316,blue-magoo,19 ,16
317,dark-star,22 ,14
318,royal-kush,19 ,15
319,mint-chocolate-chip,21 ,18
320,black-dog,18 ,14
321,ayahuasca-purple,17 ,15
322,donkey-butter,18 ,16
323,raskal-og,21 ,17
324,lemonhead-og,21 ,19
325,cherry-og,21 ,16
326,cannalope-haze,16 ,14
327,moonshine-haze,18 ,15
328,alien-kush,21 ,17
329,docs-og,17 ,16
330,hawaiian-haze,21 ,16
331,sour-jack,17 ,14
332,banana-punch-9,24 ,18
333,hawaiian-snow,20 ,17
334,lifter,1,0
335,blue-haze,21 ,15
336,quantum-kush,21 ,16
337,shark-shock,19 ,16
338,blueberry-og,18 ,15
339,raspberry-kush,19 ,15
340,vortex,18 ,14
341,dj-short-blueberry,19 ,16
342,willys-wonder,20 ,16
343,cherry-ak-47,19 ,15
344,black-cherry-og,19 ,13
345,delahaze,21 ,16
346,super-jack,19 ,16
347,rollex-og-kush,22 ,16
348,big-smooth,21 ,18
349,pink-champagne,20 ,17
350,cbd-critical-mass,7 ,4
351,501st-og,23 ,20
352,abusive-og,18 ,14
353,grape-kush,19 ,15
354,golden-ticket,20 ,16
355,critical-plus,19 ,14
356,huckleberry,18 ,15
357,peach-cobbler,19 ,16
358,cookie-monster,19 ,15
359,lemon-cookies,21 ,19
360,snoop-s-dream,20 ,17
361,tangerine-kush,18 ,16
362,chemo,18 ,16
363,cherry-wine,1,0
364,the-black,18 ,13
365,snow-white,19 ,16
366,dirty-girl,20 ,17
367,purple-dream,18 ,14
368,jedi-kush,22 ,16
369,chocolate-diesel,23 ,18
370,blue-og,19 ,14
371,spk,19 ,17
372,bio-diesel,19 ,15
373,black-lime-special-reserve,20 ,14
374,gummy-bears,19 ,18
375,somango,21 ,16
