,strain,High,Low
220,goji-og,1,0
221,king-kush,1,0
222,deadhead-og,1,0
223,lavender,1,0
224,707-headband,1,0
225,banana-split,1,0
226,liberty-haze,1,0
227,sour-apple,1,0
228,wookies,1,0
229,3x-crazy,1,0
230,bubblegum-kush,1,0
231,dream-queen,1,0
232,dolato,1,0
233,mendocino-purps,1,0
234,hawaiian,1,0
235,pink-lemonade,1,0
236,thc-bomb,1,0
237,chronic,1,0
238,red-dragon,1,0
239,pink-cookies,1,0
240,purple-og-kush,1,0
241,candy-jack,1,0
242,paris-og,1,0
243,cinex,1,0
244,orange-bud,1,0
245,double-dream,1,0
246,presidential-og,1,0
247,rudeboi-og,1,0
248,diablo,1,0
249,golden-pineapple,1,0
250,zombie-kush,1,0
251,black-mamba,1,0
252,kimbo-kush,1,0
253,strawberry-diesel,1,0
254,bubba-og,1,0
255,jack-the-ripper,1,0
256,harle-tsu,11 ,9
257,blueberry-cookies,1,0
258,purple-candy,1,0
259,afgoo,1,0
260,ice,1,0
261,sour-banana-sherbet,1,0
262,banjo,1,0
263,snowcap,1,0
264,lucky-charms,1,0
265,violator-kush,1,0
266,black-cherry-soda,1,0
267,vanilla-kush,1,0
268,yoda-og,1,0
269,peanut-butter-breath,1,0
270,legend-og,1,0
271,cherry-kush,1,0
272,sour-cookies,1,0
273,boss-og,1,0
274,kali-mist,1,0
275,royal-highness,1,0
276,sour-tsunami,13 ,11
277,white-cookies,1,0
278,jesus-og,1,0
279,sunshine,1,0
280,strawberry,1,0
281,cookie-dough,1,0
282,phantom-cookies,1,0
283,thai,1,0
284,og-chem,1,0
285,sfv-og-kush,1,0
286,hells-og,1,0
287,la-cake,1,0
288,blue-widow,1,0
289,golden-lemon,1,0
290,purple-gorilla,1,0
291,watermelon-zkittlez,1,0
292,headbanger,1,0
293,pure-kush,1,0
294,tangerine-haze,1,0
295,alien-rock-candy,1,0
296,blueberry-cheesecake,1,0
297,fruit-loops,1,0
298,phantom-og,1,0
299,blueberry-diesel,1,0
300,purple-hindu-kush,1,0
301,bruce-banner-3,1,0
302,lemon-g,1,0
303,hardcore-og,1,0
304,dr-who,1,0
305,elmers-glue,1,0
306,grape-god,1,0
307,mob-boss,1,0
308,citrus-sap,1,0
309,blueberry-haze,1,0
310,king-kong,1,0
311,canna-tsu,11 ,7
312,sour-space-candy,17 ,16
313,scooby-snack,1,0
314,ace-of-spades,1,0
315,herojuana,1,0
316,blue-magoo,1,0
317,dark-star,1,0
318,royal-kush,1,0
319,mint-chocolate-chip,1,0
320,black-dog,1,0
321,ayahuasca-purple,1,0
322,donkey-butter,1,0
323,raskal-og,1,0
324,lemonhead-og,1,0
325,cherry-og,1,0
326,cannalope-haze,1,0
327,moonshine-haze,1,0
328,alien-kush,1,0
329,docs-og,1,0
330,hawaiian-haze,1,0
331,sour-jack,1,0
332,banana-punch-9,1,0
333,hawaiian-snow,1,0
334,lifter,16 ,14
335,blue-haze,1,0
336,quantum-kush,1,0
337,shark-shock,1,0
338,blueberry-og,1,0
339,raspberry-kush,1,0
340,vortex,1,0
341,dj-short-blueberry,1,0
342,willys-wonder,1,0
343,cherry-ak-47,1,0
344,black-cherry-og,1,0
345,delahaze,1,0
346,super-jack,1,0
347,rollex-og-kush,1,0
348,big-smooth,1,0
349,pink-champagne,1,0
350,cbd-critical-mass,10 ,8
351,501st-og,1,0
352,abusive-og,1,0
353,grape-kush,1,0
354,golden-ticket,1,0
355,critical-plus,1,0
356,huckleberry,1,0
357,peach-cobbler,1,0
358,cookie-monster,1,0
359,lemon-cookies,1,0
360,snoop-s-dream,1,0
361,tangerine-kush,1,0
362,chemo,1,0
363,cherry-wine,17 ,12
364,the-black,1,0
365,snow-white,1,0
366,dirty-girl,1,0
367,purple-dream,1,0
368,jedi-kush,1,0
369,chocolate-diesel,1,0
370,blue-og,1,0
371,spk,1,0
372,bio-diesel,1,0
373,black-lime-special-reserve,1,0
374,gummy-bears,1,0
375,somango,1,0
376,kosher-tangie,1,0
377,plushberry,1,0
378,incredible-bulk,1,0
379,wookie,1,0
380,chiesel,1,0
381,blue-frost,1,0
382,duct-tape,1,0
383,pie-hoe,1,0
384,berry-og,1,0
385,chocolate-thai,1,0
386,scotts-og,1,0
387,tangerine,1,0
388,melonade,1,0
